product_id,commercial_name,raw_product_name,product_category,fabric_structure,material_family,source_type,yarn_count,width_inches,gsm,color,unit,confidence_score,notes
P00001,"30CM Single Jersey 36.5""",30CMSJ/365,knitted_fabric,single_jersey,cotton,unknown,30.0,36.5,,,kg,0.7,
P00002,"30CM Rib 32""",30CMRB/32,knitted_fabric,rib,cotton,unknown,30.0,32.0,,,kg,0.7,
P00003,"20CM Rib 19""",20CMRB/19,knitted_fabric,rib,cotton,unknown,20.0,19.0,,,kg,0.7,
P00004,"20CM Rib 32""",20CMRB/32,knitted_fabric,rib,cotton,unknown,20.0,32.0,,,kg,0.7,
P00005,"30SM Single Jersey 36.5""",30SMSJ/365,knitted_fabric,single_jersey,cotton,unknown,30.0,36.5,,,kg,0.7,
P00006,"32SM Single Jersey 36.5""",32SMSJ/365,knitted_fabric,single_jersey,cotton,unknown,32.0,36.5,,,kg,0.7,
P00007,"20TC80-20 Rib 32""",20TC80-20RB/32,knitted_fabric,rib,tc,unknown,20.0,32.0,,,kg,0.7,
P00008,"30CM Rib 32""",30CMRB2/32,knitted_fabric,rib,cotton,unknown,30.0,32.0,,,kg,0.7,
P00009,"30TD104 Single Jersey 36.5""",30TD104SJ/365,knitted_fabric,single_jersey,mixed_blend,unknown,30.0,36.5,,,kg,0.7,
P00010,"45TC80 Interlock 84""",45TC80/20IT/84,knitted_fabric,interlock,tc,unknown,45.0,84.0,,,kg,0.7,
P00011,"20CM Rib 32""",20CMRB/32*,knitted_fabric,rib,cotton,unknown,20.0,32.0,,,kg,0.7,
P00012,"30CM Single Jersey 34.5""",30CMSJ/345,knitted_fabric,single_jersey,cotton,unknown,30.0,34.5,,,kg,0.7,
P00013,"30CM Single Jersey 20""",30CMSJ/20,knitted_fabric,single_jersey,cotton,unknown,30.0,20.0,,,kg,0.7,
P00014,"30CM Single Jersey 38""",30CMSJ/38,knitted_fabric,single_jersey,cotton,unknown,30.0,38.0,,,kg,0.7,
P00015,"20CM Single Jersey 36.5""",20CMSJ/365,knitted_fabric,single_jersey,cotton,unknown,20.0,36.5,,,kg,0.7,
P00016,"30CM Single Jersey 22""",30CMSJ/22,knitted_fabric,single_jersey,cotton,unknown,30.0,22.0,,,kg,0.7,
P00017,"30CVC Single Jersey 37.5""",30CVCSJ/375,knitted_fabric,single_jersey,cvc,unknown,30.0,37.5,,,kg,0.7,
P00018,"20CM Single Jersey 36""",20CMSJ/36,knitted_fabric,single_jersey,cotton,unknown,20.0,36.0,,,kg,0.7,
P00019,"34TK Rib 36""",34TKRB/36,knitted_fabric,rib,polyester,unknown,34.0,36.0,,,kg,0.7,
P00020,"20TC80-20 Single Jersey 44.5""",20TC80-20SJ/445,knitted_fabric,single_jersey,tc,unknown,20.0,44.5,,,kg,0.7,
P00021,"30CM Single Jersey 21""",30CMSJ/21,knitted_fabric,single_jersey,cotton,unknown,30.0,21.0,,,kg,0.7,
P00022,"30SM Rib 32""",30SMRB32,knitted_fabric,rib,cotton,unknown,30.0,32.0,,,kg,0.7,
P00023,"40SEMI Interlock 37""",40SEMIINT/37,knitted_fabric,interlock,unknown,unknown,40.0,37.0,,,kg,0.7,
P00024,"20OEW Rib 32""",20OEWRB/32,knitted_fabric,rib,cotton,unknown,20.0,32.0,,,kg,0.7,
P00025,"30TD104 Single Jersey 37.5""",30TD104SJ/375,knitted_fabric,single_jersey,mixed_blend,unknown,30.0,37.5,,,kg,0.7,
P00026,"30CM Single Jersey 18""",30CMSJ/18,knitted_fabric,single_jersey,cotton,unknown,30.0,18.0,,,kg,0.7,
P00027,"30SM Rib 33""",30SMRB2/33,knitted_fabric,rib,cotton,unknown,30.0,33.0,,,kg,0.7,
P00028,"20CM Single Jersey 36.5""",20CMSJ/365*,knitted_fabric,single_jersey,cotton,unknown,20.0,36.5,,,kg,0.7,
