clothno_raw,clothno_clean,ftype,fwidth,occurrence_count,total_kg,avg_price_kg
"30CMSJ/365","30CMSJ/365","Single Jersey","36.5""","974","209870.68","234.19"
"30CMRB/32","30CMRB/32","RIB","32""","649","196911.60","232.58"
"20CMRB/19","20CMRB/19","RIB","19""","197","42787.14","225.93"
"20CMRB/32","20CMRB/32","RIB","32""","194","47847.43","225.34"
"30SMSJ/365","30SMSJ/365","Single Jersey","36""-37""","189","39016.32","225.38"
"32SMSJ/365","32SMSJ/365","Single Jersey","36""","181","42796.37","244.83"
"*20TC80-20RB/32","*20TC80-20RB/32","RIB","32""","164","116253.91","132.64"
"30CMRB2/32","30CMRB2/32","RIB","32""-33""","162","44808.01","218.03"
"30TD104SJ/365","30TD104SJ/365","Single Jersey","36.5""","159","27571.31","141.72"
"45TC80/20IT/84","45TC80/20IT/84","Interlock","84""","154","108704.53","148.73"
"20CMRB/32*","20CMRB/32*","RIB","32""","154","49292.68","203.40"
"30CMSJ/345","30CMSJ/345","Single Jersey","34.5""","150","48634.57","248.38"
"30CMSJ/20","30CMSJ/20","Single Jersey","20""","145","56329.51","238.37"
"30CMSJ/38","30CMSJ/38","Single Jersey","38""","143","48200.64","244.01"
"20CMSJ/365","20CMSJ/365","Single Jersey","36""-37""","137","33687.19","214.79"
"30CMSJ/22","30CMSJ/22","Single Jersey","22""","134","38450.29","246.38"
"30CVCSJ/375","30CVCSJ/375","Single Jersey","37.5""","132","40615.75","165.48"
"*20CMSJ/36","*20CMSJ/36","Single Jersey","36""-37""","130","47172.81","194.55"
"34TK RB/36","34TK RB/36","RIB","36""","124","76342.21","149.00"
"*20TC80-20SJ/445","*20TC80-20SJ/445","Single Jersey","43.5""-44.5""","107","87764.50","129.37"
"30CMSJ/21","30CMSJ/21","Single Jersey","21""","92","48761.79","238.25"
"30SMRB32","30SMRB32","RIB","32""","91","32188.06","219.54"
"40SEMI  INT/37","40SEMI INT/37","Interlock","37""-38""","86","37443.40","224.30"
"20OEWRB/32","20OEWRB/32","RIB","32""","85","35466.25","175.42"
"30TD104SJ/375","30TD104SJ/375","Single Jersey","37.5""","83","17035.85","142.40"
"30CMSJ/18","30CMSJ/18","Single Jersey","18""","81","32219.63","239.15"
"30SMRB2/33","30SMRB2/33","RIB","32""-33""","71","10656.45","228.66"
"20CMSJ/365*","20CMSJ/365*","Single Jersey","36""-37""","71","30051.20","178.43"
"32SMRB2/35","32SMRB2/35","RIB","32-33""","68","14653.59","231.61"
